shpfile_id,grid_df_id
75,8180
75,8324
75,8468
75,8612
75,8756
75,8900
75,9044
75,9188
75,9332
75,9476
75,9620
75,8181
75,8325
75,8469
75,8613
75,8757
75,8901
75,9045
75,9189
75,9333
75,8182
75,8326
75,8470
75,8614
75,8758
75,8902
75,9046
75,9190
75,9334
75,8183
75,8327
75,8471
75,8615
75,8759
75,8903
75,9047
75,9191
75,9335
75,8328
75,8472
75,8616
75,8760
75,8904
75,9048
75,9192
75,9336
75,8329
75,8473
75,8617
75,8761
75,8905
75,9049
75,9193
75,9337
75,8330
75,8474
75,8618
75,8762
75,8906
75,9050
75,9194
75,9338
75,8187
75,8331
75,8475
75,8619
75,8763
75,8907
75,9051
75,9195
75,9339
75,7756
75,8044
75,8188
75,8332
75,8476
75,8620
75,8764
75,8908
75,9052
75,9196
75,7757
75,8045
75,8189
75,8333
75,8477
75,8621
75,8765
75,8909
75,9053
75,9197
75,9341
75,7902
75,8046
75,8190
75,8334
75,8478
75,8622
75,8766
75,8910
75,9054
75,9198
75,9342
75,8047
75,8191
75,8335
75,8623
75,8767
75,8911
75,9055
75,9199
75,9343
75,8624
75,8768
75,8912
75,9056
75,9200
75,9344
75,9488
75,8769
75,8913
75,9057
75,9201
75,9345
75,8770
75,8914
75,9058
75,9202
75,9346
75,8771
75,8915
75,9059
75,9203
75,9347
75,8772
75,8916
75,9060
75,9204
75,9348
75,8773
75,8917
75,9061
75,9205
75,8342
75,8486
75,8774
75,8918
75,9062
75,9206
75,8343
75,8487
75,8919
75,9063
75,9207
75,8488
75,8632
75,8776
75,8920
75,9064
75,8633
75,8921
75,9065
75,9209
75,8778
75,8922
75,9066
75,9210
75,8779
75,8923
75,9067
75,9211
75,8780
75,8924
75,9068
75,9212
75,8925
75,9069
75,9213
75,8926
75,9070
75,9214
75,9071
75,9215
76,7856
76,7857
76,7858
77,6716
78,7412
79,8142
79,8286
79,8143
79,8287
79,8144
79,8288
80,6024
80,6168
80,5881
80,6025
80,5738
81,4648
81,4792
81,4505
81,4649
81,4793
81,4937
81,4362
81,4506
81,4650
81,4794
81,4938
81,5082
81,4219
81,4363
81,4507
81,4939
82,3935
82,3792
82,3936
82,3649
82,3793
83,4736
83,4880
83,5024
83,4881
83,5025
83,4882
84,5655
85,5597
86,6721
86,6865
86,6722
86,6866
86,6723
86,6867
86,7011
86,6868
86,7012
86,7156
86,7013
86,7157
86,7301
87,6285
87,6286
87,6430
87,6574
87,6431
88,8570
88,8714
88,8571
88,8715
88,8859
88,8716
88,8860
88,9725
88,9150
88,9726
88,9151
88,9727
88,9728
88,9153
89,7466
89,7611
90,5689
90,5833
90,5546
90,5690
90,5834
90,5547
90,5691
90,5835
90,5692
90,5836
90,5837
91,5976
91,5977
91,5978
91,6122
91,6266
91,5979
91,6123
91,6267
91,6411
91,5980
91,6124
91,6268
91,6412
91,6125
91,6269
91,6413
92,5941
92,5942
93,2593
93,2587
93,2732
93,2877
93,3022
94,4036
95,3896
96,8138
97,5948
98,5804
99,6872
99,6873
100,5178
101,3965
101,4109
101,3678
101,3822
101,3966
101,4110
101,3535
101,3679
101,3823
101,3967
101,4111
102,3829
102,3973
102,4117
102,4261
102,4118
102,4262
