LAT,LON,grid_df_id,area_km,is_land
-58.75,-61.25,1775,40086.034097182106,False
-58.75,-58.75,1776,40086.034097182106,False
-58.75,-56.25,1777,40086.034097182106,False
-58.75,-53.75,1778,40086.034097182106,False
-58.75,-51.25,1779,40086.034097182106,False
-58.75,-48.75,1780,40086.034097182106,False
-58.75,-46.25,1781,40086.034097182106,False
-58.75,-43.75,1782,40086.034097182106,False
-58.75,-41.25,1783,40086.034097182106,False
-58.75,-38.75,1784,40086.034097182106,False
-58.75,-36.25,1785,40086.034097182106,False
-58.75,-33.75,1786,40086.034097182106,False
-58.75,-31.25,1787,40086.034097182106,False
-58.75,-28.75,1788,40086.03409718293,False
-58.75,-26.25,1789,40086.034097182106,False
-58.75,-23.75,1790,40086.034097182106,False
-58.75,-21.25,1791,40086.034097182106,False
-58.75,-18.75,1792,40086.034097182106,False
-58.75,-16.25,1793,40086.034097182106,False
-58.75,-13.75,1794,40086.034097182106,False
-58.75,-11.25,1795,40086.034097182106,False
-58.75,-8.75,1796,40086.034097182106,False
-58.75,-6.25,1797,40086.034097182106,False
-58.75,-3.75,1798,40086.034097182106,False
-58.75,-1.25,1799,40086.034097182106,False
-58.75,1.25,1800,40086.03409718215,False
-58.75,3.75,1801,40086.03409718215,False
-58.75,6.25,1802,40086.03409718214,False
-58.75,8.75,1803,40086.03409718216,False
-58.75,11.25,1804,40086.03409718216,False
-58.75,13.75,1805,40086.034097182135,False
-58.75,16.25,1806,40086.03409718216,False
-58.75,18.75,1807,40086.03409718216,False
-58.75,21.25,1808,40086.03409718216,False
-58.75,23.75,1809,40086.03409718216,False
-58.75,26.25,1810,40086.03409718216,False
-58.75,28.75,1811,40086.034097182106,False
-58.75,31.25,1812,40086.034097182215,False
-58.75,33.75,1813,40086.034097182106,False
-58.75,36.25,1814,40086.034097182215,False
-58.75,38.75,1815,40086.034097182106,False
-58.75,41.25,1816,40086.034097182215,False
-58.75,43.75,1817,40086.034097182106,False
-58.75,46.25,1818,40086.034097182215,False
-58.75,48.75,1819,40086.034097182106,False
-58.75,51.25,1820,40086.034097182215,False
-58.75,53.75,1821,40086.034097182106,False
-58.75,56.25,1822,40086.034097182106,False
-58.75,58.75,1823,40086.034097182106,False
-58.75,61.25,1824,40086.03409718231,False
-58.75,63.75,1825,40086.034097182106,False
-58.75,66.25,1826,40086.034097182106,False
-58.75,68.75,1827,40086.034097182106,False
-58.75,71.25,1828,40086.03409718231,False
-58.75,73.75,1829,40086.034097182106,False
-58.75,76.25,1830,40086.034097182106,False
-58.75,78.75,1831,40086.034097182106,False
-58.75,81.25,1832,40086.034097182106,False
-58.75,83.75,1833,40086.03409718231,False
-58.75,86.25,1834,40086.034097182106,False
-58.75,88.75,1835,40086.034097182106,False
-58.75,91.25,1836,40086.034097182106,False
-58.75,93.75,1837,40086.03409718231,False
-58.75,96.25,1838,40086.034097182106,False
-58.75,98.75,1839,40086.034097182106,False
-58.75,101.25,1840,40086.034097182106,False
-58.75,103.75,1841,40086.03409718231,False
-58.75,106.25,1842,40086.034097182106,False
-58.75,108.75,1843,40086.034097182106,False
-58.75,111.25,1844,40086.034097182106,False
-58.75,113.75,1845,40086.034097182106,False
-58.75,116.25,1846,40086.034097182106,False
-58.75,118.75,1847,40086.034097182106,False
-58.75,121.25,1848,40086.03409718251,False
-58.75,123.75,1849,40086.034097182106,False
-58.75,126.25,1850,40086.034097182106,False
-58.75,128.75,1851,40086.034097182106,False
-58.75,131.25,1852,40086.034097182106,False
-58.75,133.75,1853,40086.034097182106,False
-58.75,136.25,1854,40086.034097182106,False
-58.75,138.75,1855,40086.034097182106,False
-58.75,141.25,1856,40086.034097182106,False
-58.75,143.75,1857,40086.03409718251,False
-58.75,146.25,1858,40086.034097182106,False
-58.75,148.75,1859,40086.034097182106,False
-58.75,151.25,1860,40086.034097182106,False
-58.75,153.75,1861,40086.034097182106,False
-58.75,156.25,1862,40086.034097182106,False
-58.75,158.75,1863,40086.034097182106,False
-58.75,161.25,1864,40086.034097182106,False
-58.75,163.75,1865,40086.034097182106,False
-58.75,166.25,1866,40086.03409718251,False
-58.75,168.75,1867,40086.034097182106,False
-58.75,171.25,1868,40086.034097182106,False
-58.75,173.75,1869,40086.034097182106,False
-58.75,176.25,1870,40086.034097182106,False
-58.75,178.75,1871,40086.034097182106,False
-56.25,-178.75,1872,42929.36645032728,False
-56.25,-176.25,1873,42929.36645032728,False
-56.25,-173.75,1874,42929.36645032728,False
-56.25,-171.25,1875,42929.36645032771,False
-56.25,-168.75,1876,42929.36645032728,False
-56.25,-166.25,1877,42929.36645032728,False
-56.25,-163.75,1878,42929.36645032728,False
-56.25,-161.25,1879,42929.36645032728,False
-56.25,-158.75,1880,42929.36645032728,False
-56.25,-156.25,1881,42929.36645032728,False
-56.25,-153.75,1882,42929.36645032728,False
-56.25,-151.25,1883,42929.36645032771,False
-56.25,-148.75,1884,42929.36645032728,False
-56.25,-146.25,1885,42929.36645032728,False
-56.25,-143.75,1886,42929.36645032728,False
-56.25,-141.25,1887,42929.36645032728,False
-56.25,-138.75,1888,42929.36645032728,False
-56.25,-136.25,1889,42929.36645032728,False
-56.25,-133.75,1890,42929.36645032728,False
-56.25,-131.25,1891,42929.36645032728,False
-56.25,-128.75,1892,42929.36645032728,False
-56.25,-126.25,1893,42929.36645032728,False
-56.25,-123.75,1894,42929.36645032728,False
-56.25,-121.25,1895,42929.36645032728,False
-56.25,-118.75,1896,42929.36645032728,False
-56.25,-116.25,1897,42929.366450328154,False
-56.25,-113.75,1898,42929.36645032728,False
-56.25,-111.25,1899,42929.36645032728,False
-56.25,-108.75,1900,42929.36645032728,False
-56.25,-106.25,1901,42929.36645032728,False
-56.25,-103.75,1902,42929.36645032728,False
-56.25,-101.25,1903,42929.36645032728,False
-56.25,-98.75,1904,42929.36645032728,False
-56.25,-96.25,1905,42929.36645032728,False
-56.25,-93.75,1906,42929.36645032728,False
-56.25,-91.25,1907,42929.36645032728,False
-56.25,-88.75,1908,42929.36645032728,False
-56.25,-86.25,1909,42929.36645032728,False
-56.25,-83.75,1910,42929.36645032728,False
-56.25,-81.25,1911,42929.36645032728,False
-56.25,-78.75,1912,42929.36645032728,False
-56.25,-76.25,1913,42929.36645032728,False
-56.25,-73.75,1914,42929.366450328154,False
-56.25,-71.25,1915,42929.36645032728,True
-56.25,-68.75,1916,42929.36645032728,True
-56.25,-66.25,1917,42929.36645032728,True
-56.25,-63.75,1918,42929.36645032728,False
-56.25,-61.25,1919,42929.36645032728,False
-56.25,-58.75,1920,42929.36645032728,False
-56.25,-56.25,1921,42929.36645032728,False
-56.25,-53.75,1922,42929.36645032728,False
-56.25,-51.25,1923,42929.36645032728,False
-56.25,-48.75,1924,42929.36645032728,False
-56.25,-46.25,1925,42929.36645032728,False
-56.25,-43.75,1926,42929.36645032728,False
-56.25,-41.25,1927,42929.36645032728,False
-56.25,-38.75,1928,42929.36645032728,False
-56.25,-36.25,1929,42929.36645032728,False
-56.25,-33.75,1930,42929.36645032728,False
-56.25,-31.25,1931,42929.36645032728,False
-56.25,-28.75,1932,42929.366450328154,False
-56.25,-26.25,1933,42929.36645032728,False
-56.25,-23.75,1934,42929.36645032728,False
-56.25,-21.25,1935,42929.36645032728,False
-56.25,-18.75,1936,42929.36645032728,False
-56.25,-16.25,1937,42929.36645032728,False
-56.25,-13.75,1938,42929.36645032728,False
-56.25,-11.25,1939,42929.36645032728,False
-56.25,-8.75,1940,42929.36645032728,False
-56.25,-6.25,1941,42929.36645032728,False
-56.25,-3.75,1942,42929.36645032728,False
-56.25,-1.25,1943,42929.36645032728,False
-56.25,1.25,1944,42929.366450327325,False
-56.25,3.75,1945,42929.366450327325,False
-56.25,6.25,1946,42929.36645032732,False
-56.25,8.75,1947,42929.36645032733,False
-56.25,11.25,1948,42929.36645032733,False
-56.25,13.75,1949,42929.3664503273,False
-56.25,16.25,1950,42929.36645032733,False
-56.25,18.75,1951,42929.36645032733,False
-56.25,21.25,1952,42929.36645032733,False
-56.25,23.75,1953,42929.36645032733,False
-56.25,26.25,1954,42929.36645032733,False
-56.25,28.75,1955,42929.36645032728,False
-56.25,31.25,1956,42929.36645032738,False
-56.25,33.75,1957,42929.36645032728,False
-56.25,36.25,1958,42929.36645032738,False
-56.25,38.75,1959,42929.36645032728,False
-56.25,41.25,1960,42929.36645032738,False
-56.25,43.75,1961,42929.36645032728,False
-56.25,46.25,1962,42929.36645032738,False
-56.25,48.75,1963,42929.36645032728,False
-56.25,51.25,1964,42929.36645032738,False
-56.25,53.75,1965,42929.36645032728,False
-56.25,56.25,1966,42929.36645032728,False
-56.25,58.75,1967,42929.36645032728,False
-56.25,61.25,1968,42929.3664503275,False
-56.25,63.75,1969,42929.36645032728,False
-56.25,66.25,1970,42929.36645032728,False
-56.25,68.75,1971,42929.36645032728,False
-56.25,71.25,1972,42929.3664503275,False
-56.25,73.75,1973,42929.36645032728,False
-56.25,76.25,1974,42929.36645032728,False
-56.25,78.75,1975,42929.36645032728,False
-56.25,81.25,1976,42929.36645032728,False
-56.25,83.75,1977,42929.3664503275,False
-56.25,86.25,1978,42929.36645032728,False
-56.25,88.75,1979,42929.36645032728,False
-56.25,91.25,1980,42929.36645032728,False
-56.25,93.75,1981,42929.3664503275,False
-56.25,96.25,1982,42929.36645032728,False
-56.25,98.75,1983,42929.36645032728,False
-56.25,101.25,1984,42929.36645032728,False
-56.25,103.75,1985,42929.3664503275,False
-56.25,106.25,1986,42929.36645032728,False
-56.25,108.75,1987,42929.36645032728,False
-56.25,111.25,1988,42929.36645032728,False
-56.25,113.75,1989,42929.36645032728,False
-56.25,116.25,1990,42929.36645032728,False
-56.25,118.75,1991,42929.36645032728,False
-56.25,121.25,1992,42929.36645032771,False
-56.25,123.75,1993,42929.36645032728,False
-56.25,126.25,1994,42929.36645032728,False
-56.25,128.75,1995,42929.36645032728,False
-56.25,131.25,1996,42929.36645032728,False
-56.25,133.75,1997,42929.36645032728,False
-56.25,136.25,1998,42929.36645032728,False
-56.25,138.75,1999,42929.36645032728,False
-56.25,141.25,2000,42929.36645032728,False
-56.25,143.75,2001,42929.36645032771,False
-56.25,146.25,2002,42929.36645032728,False
-56.25,148.75,2003,42929.36645032728,False
-56.25,151.25,2004,42929.36645032728,False
-56.25,153.75,2005,42929.36645032728,False
-56.25,156.25,2006,42929.36645032728,False
-56.25,158.75,2007,42929.36645032728,False
-56.25,161.25,2008,42929.36645032728,False
-56.25,163.75,2009,42929.36645032728,False
-56.25,166.25,2010,42929.36645032771,False
